Deútsche		English

Raesfeld		(City)
Flughafen 		Airport
Berlin 			(City)
Bratwurst 		(Type of sausage)
Hauptstrasse 		Main road
Brot 			Bread		
Klimaanlage 		Air Conditioning
Rammstein 		Ramming Stone
Porsche			(Auto Maker)
BMW 			(Auto Maker)
Biergarten 		Beer Garden
Ratskeller		Council Room
Dirndel 		(Type of dress)
Lederhose 		(Leather Breeches)
Schloss 		Lock
wettbewerbsfaehig 	Competetive
Mehlhase 		Flour Bunny
Gebaeck 		Pastries
Baeckerei 		Bakery
Hund 			Dog
Doener 			(Meat similar to Shawarma)
Apfelkuchen 		Apple Cake
Eltz			(German Noble Family)
